"label","n","parent","id"
"Canada",30,"total  -  Documentary","total  -  Documentary  -  Canada"
"Canada",267,"total  -  Drama","total  -  Drama  -  Canada"
"Canada",20,"total  -  Family","total  -  Family  -  Canada"
"Canada",35,"total  -  Fantasy","total  -  Fantasy  -  Canada"
"Canada",3,"total  -  Film Noir","total  -  Film Noir  -  Canada"
"Canada",20,"total  -  Game Show","total  -  Game Show  -  Canada"
"Canada",4,"total  -  History","total  -  History  -  Canada"
"Canada",33,"total  -  Horror","total  -  Horror  -  Canada"
"Canada",2,"total  -  Music","total  -  Music  -  Canada"
"Canada",1,"total  -  Musical","total  -  Musical  -  Canada"
"Canada",73,"total  -  Mystery","total  -  Mystery  -  Canada"
"Canada",37,"total  -  Reality TV","total  -  Reality TV  -  Canada"
"Canada",85,"total  -  Romance","total  -  Romance  -  Canada"
"Canada",39,"total  -  Sci Fi","total  -  Sci Fi  -  Canada"
"Canada",8,"total  -  Sport","total  -  Sport  -  Canada"
"Canada",84,"total  -  Thriller","total  -  Thriller  -  Canada"
"Canada",5,"total  -  War","total  -  War  -  Canada"
"Canada",5,"total  -  Western","total  -  Western  -  Canada"
"Chile",139,"total  -  Action","total  -  Action  -  Chile"
"Chile",119,"total  -  Adventure","total  -  Adventure  -  Chile"
"Chile",70,"total  -  Animation","total  -  Animation  -  Chile"
"Chile",4,"total  -  Biography","total  -  Biography  -  Chile"
"Chile",194,"total  -  Comedy","total  -  Comedy  -  Chile"
"Chile",106,"total  -  Crime","total  -  Crime  -  Chile"
"Chile",15,"total  -  Documentary","total  -  Documentary  -  Chile"
"Chile",336,"total  -  Drama","total  -  Drama  -  Chile"
"Chile",18,"total  -  Family","total  -  Family  -  Chile"
"Chile",25,"total  -  Fantasy","total  -  Fantasy  -  Chile"
"Chile",3,"total  -  Film Noir","total  -  Film Noir  -  Chile"
"Chile",2,"total  -  History","total  -  History  -  Chile"
"Chile",30,"total  -  Horror","total  -  Horror  -  Chile"
"Chile",35,"total  -  Music","total  -  Music  -  Chile"
"Chile",49,"total  -  Mystery","total  -  Mystery  -  Chile"
"Chile",2,"total  -  Reality TV","total  -  Reality TV  -  Chile"
"Chile",129,"total  -  Romance","total  -  Romance  -  Chile"
"Chile",19,"total  -  Sci Fi","total  -  Sci Fi  -  Chile"
"Chile",8,"total  -  Sport","total  -  Sport  -  Chile"
"Chile",61,"total  -  Thriller","total  -  Thriller  -  Chile"
"Chile",3,"total  -  War","total  -  War  -  Chile"
"Chile",7,"total  -  Western","total  -  Western  -  Chile"
"Colombia",150,"total  -  Action","total  -  Action  -  Colombia"
"Colombia",106,"total  -  Adventure","total  -  Adventure  -  Colombia"
"Colombia",57,"total  -  Animation","total  -  Animation  -  Colombia"
"Colombia",3,"total  -  Biography","total  -  Biography  -  Colombia"
"Colombia",184,"total  -  Comedy","total  -  Comedy  -  Colombia"
"Colombia",116,"total  -  Crime","total  -  Crime  -  Colombia"
"Colombia",35,"total  -  Documentary","total  -  Documentary  -  Colombia"
"Colombia",291,"total  -  Drama","total  -  Drama  -  Colombia"
"Colombia",16,"total  -  Family","total  -  Family  -  Colombia"
"Colombia",28,"total  -  Fantasy","total  -  Fantasy  -  Colombia"
"Colombia",2,"total  -  Film Noir","total  -  Film Noir  -  Colombia"
"Colombia",30,"total  -  Horror","total  -  Horror  -  Colombia"
"Colombia",16,"total  -  Music","total  -  Music  -  Colombia"
"Colombia",4,"total  -  Musical","total  -  Musical  -  Colombia"
"Colombia",49,"total  -  Mystery","total  -  Mystery  -  Colombia"
"Colombia",3,"total  -  Reality TV","total  -  Reality TV  -  Colombia"
"Colombia",118,"total  -  Romance","total  -  Romance  -  Colombia"
"Colombia",18,"total  -  Sci Fi","total  -  Sci Fi  -  Colombia"
"Colombia",8,"total  -  Sport","total  -  Sport  -  Colombia"
"Colombia",74,"total  -  Thriller","total  -  Thriller  -  Colombia"
"Colombia",2,"total  -  War","total  -  War  -  Colombia"
"Colombia",6,"total  -  Western","total  -  Western  -  Colombia"
"Costa Rica",127,"total  -  Action","total  -  Action  -  Costa Rica"
"Costa Rica",95,"total  -  Adventure","total  -  Adventure  -  Costa Rica"
"Costa Rica",57,"total  -  Animation","total  -  Animation  -  Costa Rica"
"Costa Rica",5,"total  -  Biography","total  -  Biography  -  Costa Rica"
"Costa Rica",197,"total  -  Comedy","total  -  Comedy  -  Costa Rica"
"Costa Rica",100,"total  -  Crime","total  -  Crime  -  Costa Rica"
"Costa Rica",20,"total  -  Documentary","total  -  Documentary  -  Costa Rica"
"Costa Rica",326,"total  -  Drama","total  -  Drama  -  Costa Rica"
"Costa Rica",20,"total  -  Family","total  -  Family  -  Costa Rica"
