"parents","n","labels","id"
"Dominican Republic",50,"Animation","Dominican Republic  -  Animation"
"Dominican Republic",3,"Biography","Dominican Republic  -  Biography"
"Dominican Republic",152,"Comedy","Dominican Republic  -  Comedy"
"Dominican Republic",116,"Crime","Dominican Republic  -  Crime"
"Dominican Republic",17,"Documentary","Dominican Republic  -  Documentary"
"Dominican Republic",281,"Drama","Dominican Republic  -  Drama"
"Dominican Republic",19,"Family","Dominican Republic  -  Family"
"Dominican Republic",36,"Fantasy","Dominican Republic  -  Fantasy"
"Dominican Republic",2,"Film Noir","Dominican Republic  -  Film Noir"
"Dominican Republic",2,"Game Show","Dominican Republic  -  Game Show"
"Dominican Republic",30,"Horror","Dominican Republic  -  Horror"
"Dominican Republic",32,"Music","Dominican Republic  -  Music"
"Dominican Republic",49,"Mystery","Dominican Republic  -  Mystery"
"Dominican Republic",3,"Reality TV","Dominican Republic  -  Reality TV"
"Dominican Republic",85,"Romance","Dominican Republic  -  Romance"
"Dominican Republic",23,"Sci Fi","Dominican Republic  -  Sci Fi"
"Dominican Republic",7,"Sport","Dominican Republic  -  Sport"
"Dominican Republic",76,"Thriller","Dominican Republic  -  Thriller"
"Dominican Republic",4,"War","Dominican Republic  -  War"
"Dominican Republic",4,"Western","Dominican Republic  -  Western"
"Ecuador",153,"Action","Ecuador  -  Action"
"Ecuador",119,"Adventure","Ecuador  -  Adventure"
"Ecuador",67,"Animation","Ecuador  -  Animation"
"Ecuador",1,"Biography","Ecuador  -  Biography"
"Ecuador",192,"Comedy","Ecuador  -  Comedy"
"Ecuador",90,"Crime","Ecuador  -  Crime"
"Ecuador",16,"Documentary","Ecuador  -  Documentary"
"Ecuador",277,"Drama","Ecuador  -  Drama"
"Ecuador",13,"Family","Ecuador  -  Family"
"Ecuador",26,"Fantasy","Ecuador  -  Fantasy"
"Ecuador",2,"Film Noir","Ecuador  -  Film Noir"
"Ecuador",28,"Horror","Ecuador  -  Horror"
"Ecuador",31,"Music","Ecuador  -  Music"
"Ecuador",41,"Mystery","Ecuador  -  Mystery"
"Ecuador",3,"Reality TV","Ecuador  -  Reality TV"
"Ecuador",104,"Romance","Ecuador  -  Romance"
"Ecuador",22,"Sci Fi","Ecuador  -  Sci Fi"
"Ecuador",7,"Sport","Ecuador  -  Sport"
"Ecuador",64,"Thriller","Ecuador  -  Thriller"
"Ecuador",2,"War","Ecuador  -  War"
"Ecuador",5,"Western","Ecuador  -  Western"
"Egypt",204,"Action","Egypt  -  Action"
"Egypt",107,"Adventure","Egypt  -  Adventure"
"Egypt",36,"Animation","Egypt  -  Animation"
"Egypt",11,"Biography","Egypt  -  Biography"
"Egypt",176,"Comedy","Egypt  -  Comedy"
"Egypt",130,"Crime","Egypt  -  Crime"
"Egypt",17,"Documentary","Egypt  -  Documentary"
"Egypt",338,"Drama","Egypt  -  Drama"
"Egypt",16,"Family","Egypt  -  Family"
"Egypt",36,"Fantasy","Egypt  -  Fantasy"
"Egypt",4,"Film Noir","Egypt  -  Film Noir"
"Egypt",7,"Game Show","Egypt  -  Game Show"
"Egypt",5,"History","Egypt  -  History"
"Egypt",31,"Horror","Egypt  -  Horror"
"Egypt",1,"Music","Egypt  -  Music"
"Egypt",49,"Mystery","Egypt  -  Mystery"
"Egypt",9,"Reality TV","Egypt  -  Reality TV"
"Egypt",105,"Romance","Egypt  -  Romance"
"Egypt",28,"Sci Fi","Egypt  -  Sci Fi"
"Egypt",3,"Sport","Egypt  -  Sport"
"Egypt",73,"Thriller","Egypt  -  Thriller"
"Egypt",3,"War","Egypt  -  War"
"Egypt",3,"Western","Egypt  -  Western"
"El Salvador",142,"Action","El Salvador  -  Action"
"El Salvador",103,"Adventure","El Salvador  -  Adventure"
"El Salvador",62,"Animation","El Salvador  -  Animation"
"El Salvador",1,"Biography","El Salvador  -  Biography"
"El Salvador",186,"Comedy","El Salvador  -  Comedy"
"El Salvador",106,"Crime","El Salvador  -  Crime"
"El Salvador",15,"Documentary","El Salvador  -  Documentary"
"El Salvador",293,"Drama","El Salvador  -  Drama"
"El Salvador",14,"Family","El Salvador  -  Family"
"El Salvador",26,"Fantasy","El Salvador  -  Fantasy"
"El Salvador",2,"Film Noir","El Salvador  -  Film Noir"
