"id","n","label","parent"
"total  -  Romance  -  Indonesia",107,"Indonesia","total  -  Romance"
"total  -  Sci Fi  -  Indonesia",40,"Indonesia","total  -  Sci Fi"
"total  -  Thriller  -  Indonesia",81,"Indonesia","total  -  Thriller"
"total  -  Action  -  Ireland",141,"Ireland","total  -  Action"
"total  -  Adventure  -  Ireland",132,"Ireland","total  -  Adventure"
"total  -  Animation  -  Ireland",66,"Ireland","total  -  Animation"
"total  -  Comedy  -  Ireland",214,"Ireland","total  -  Comedy"
"total  -  Crime  -  Ireland",143,"Ireland","total  -  Crime"
"total  -  Documentary  -  Ireland",35,"Ireland","total  -  Documentary"
"total  -  Drama  -  Ireland",293,"Ireland","total  -  Drama"
"total  -  Mystery  -  Ireland",42,"Ireland","total  -  Mystery"
"total  -  Romance  -  Ireland",92,"Ireland","total  -  Romance"
"total  -  Thriller  -  Ireland",52,"Ireland","total  -  Thriller"
"total  -  Action  -  Israel",204,"Israel","total  -  Action"
"total  -  Adventure  -  Israel",113,"Israel","total  -  Adventure"
"total  -  Animation  -  Israel",54,"Israel","total  -  Animation"
"total  -  Comedy  -  Israel",178,"Israel","total  -  Comedy"
"total  -  Crime  -  Israel",132,"Israel","total  -  Crime"
"total  -  Drama  -  Israel",336,"Israel","total  -  Drama"
"total  -  Mystery  -  Israel",42,"Israel","total  -  Mystery"
"total  -  Romance  -  Israel",95,"Israel","total  -  Romance"
"total  -  Sci Fi  -  Israel",37,"Israel","total  -  Sci Fi"
"total  -  Thriller  -  Israel",72,"Israel","total  -  Thriller"
"total  -  Action  -  Italy",187,"Italy","total  -  Action"
"total  -  Adventure  -  Italy",85,"Italy","total  -  Adventure"
"total  -  Comedy  -  Italy",167,"Italy","total  -  Comedy"
"total  -  Crime  -  Italy",153,"Italy","total  -  Crime"
"total  -  Drama  -  Italy",375,"Italy","total  -  Drama"
"total  -  Fantasy  -  Italy",44,"Italy","total  -  Fantasy"
"total  -  Horror  -  Italy",36,"Italy","total  -  Horror"
"total  -  Mystery  -  Italy",69,"Italy","total  -  Mystery"
"total  -  Romance  -  Italy",95,"Italy","total  -  Romance"
"total  -  Thriller  -  Italy",55,"Italy","total  -  Thriller"
"total  -  Action  -  Jamaica",217,"Jamaica","total  -  Action"
"total  -  Adventure  -  Jamaica",122,"Jamaica","total  -  Adventure"
"total  -  Animation  -  Jamaica",78,"Jamaica","total  -  Animation"
"total  -  Comedy  -  Jamaica",182,"Jamaica","total  -  Comedy"
"total  -  Crime  -  Jamaica",135,"Jamaica","total  -  Crime"
"total  -  Drama  -  Jamaica",284,"Jamaica","total  -  Drama"
"total  -  Fantasy  -  Jamaica",48,"Jamaica","total  -  Fantasy"
"total  -  Mystery  -  Jamaica",48,"Jamaica","total  -  Mystery"
"total  -  Romance  -  Jamaica",83,"Jamaica","total  -  Romance"
"total  -  Thriller  -  Jamaica",93,"Jamaica","total  -  Thriller"
"total  -  Action  -  Japan",240,"Japan","total  -  Action"
"total  -  Adventure  -  Japan",157,"Japan","total  -  Adventure"
